,Club Names,Club Short Descriptions,Club Long Descriptions,Club Urls
116,Community Outreach Transportation,"UConn Department of Student Activities (DSA) offers Vehicle Rental Services through the area of Community Outreach Programs, Services, and Initiatives.","Our fleet consists of 6, 11, and 14 passenger vehicles. Handicapped accessible vehicles are also available. Rental services are available to University departments and student organizations that follow the mission of Community Outreach.
Guidelines for eligibility to rent these vehicles are outlined below. Scheduling priority will be given to the Department of Student Activities areas and Student Organization requests. Consideration will then be given to requests from other departments that emphasize academic service learning and service based activities based upon availability of drivers and vehicles.
Basic Criteria for Recognized Student Organization Rental of Student Activities Vehicles
Basic Criteria for all other UConn Departments and Areas
 
These requests will be reviewed for consideration based on availability.  Requests must be submitted 2-3 weeks prior to needing a vehicle.
Rental requests will no longer be considered for other activities.
Community Outreach retains the right to deny use of a vehicle if in its sole opinion safe vehicle operation cannot be ensured due to weather/road conditions or there has been a past failure of the organization/renter to follow Community Outreach policies or procedures.
For additional questions on the rental policies and procedures please contact Brian Chebro; Coordinator of Transportation services for Community Outreach. Brian can be reached at brian.chebro@uconn.edu or 486-1165.
Transportation Request Form",https://uconntact.uconn.edu/organization/cotranspo
117,Community Service Days,The purpose of Community Service Days is to provide meaningful service opportunities to UConn students in order to meet the needs of our community partnering organizations.,"Community Service Days provides meaningful off-campus service opportunities to the UConn student population. Our mission is to deliver meaningful service opportunities to you.
 
We provide transportation to off-campus weekend service events in the communities surrounding UConn. Check back in early September for our Fall 2022 event offerings. Have a great summer!
 
Of course, please do not hesitate to reach out to our team at uconn.co.csd@gmail.com",https://uconntact.uconn.edu/organization/cocsd
118,Community Standards,Office of Community Standards,,https://uconntact.uconn.edu/organization/communitystandards
119,"Competitive Soccer, UConn",A competitive soccer team here at UCONN.,A men's club soccer team for UConn students that competes in the NIRSA collegiate club soccer league.  Reach out to liam.wilson@uconn.edu with any questions.,https://uconntact.uconn.edu/organization/competitivesoccer
120,"Concrete Canoe Association, UConn","Concrete Canoe is an ASCE affiliated club open to all civil engineering students. Club members design, build and race a concrete canoe against other clubs in the New England conference.","The Concrete Canoe Association is a student organization dedicated to build a concrete canoe and to participate in a nationwide competition each year. The students are given a standardized hull design and the ASCE National Concrete Canoe CompetitionTM Rules & Regulation book. It is a challenge to design an appropriate concrete mix, to choose the best type and amount of reinforcement, to apply both materials in a way to match the given hull design, to transport the canoe to the competition venue and to be in physical shape as well as skilled enough to look good during the canoe race. The three best teams receive a monetary award and a trophy, but all what matters is the joy of having participated in such a competition. Follow us on Instagram where we post updates! https://www.instagram.com/uconnconcretecanoe/
 
 ",https://uconntact.uconn.edu/organization/concretecanoeassociationuconn
121,Confetti for Kids,Confetti for Kids is a club committed to fundraising money to buy presents for children in both the foster care system and other organizations dedicated to helping children who face adversity in their home life.,"Confetti for Kids is a philanthropy organization that benefits children who grew up in the foster care system or does not have a stable family life. Currently we work with the Heart Gallery of CT and the Solnit Center out of Middletown, CT, but are not limiting ourselves to just these two organizations. Throughout the school year, nearly every month, we hold fundraisers and all of the proceeds from them go towards buying presents for the holidays or the children's birthdays, or even buying other essential items, like sheets or towels, that the organizations request. 
 
We are a low commitment club and are always welcoming more members at any point in the semester! Follow our Instagram @confettiforkids to see when our meetings and fundraisers are or reach out to jessica.2.harris@uconn.edu with any questions you have!",https://uconntact.uconn.edu/organization/confettiforkids
122,ConnASDA - UConn Dental School,UConn Chapter of the American Student Dental Association,"The American Student Dental Association is a national student-run organization that protects and advances the rights, interests, and  welfare of dental students. Conn ASDA introduces students to lifelong  involvement in organized dentistry and provides services, information,  education, representation, and advocacy! For more information, check out our website at www.ctasda.org.",https://uconntact.uconn.edu/organization/connasda
123,Connecticut Insurance Law Journal,We are a student-run academic journal that publishes peer-reviewed legal literature with a focus on insurance and risk-related scholarship.,We are a student-run academic journal that publishes peer-reviewed legal literature with a focus on insurance and risk-related scholarship.,https://uconntact.uconn.edu/organization/cilj
124,Connecticut Journal of International Law,CJIL is a student-run academic journal that publishes two issues per year focusing on international or foreign law. Members write a note or comment of publishable quality and refine their Bluebooking and editorial skills.,,https://uconntact.uconn.edu/organization/cjil
125,Connecticut Public Interest Law Journal,"The Connecticut Public Interest Law Journal is a student-run scholarly journal that publishes works by professors, judges, practitioners, and students. The Journal specializes in articles dealing with Public Interest topics and issues.","The Connecticut Public Interest Law Journal is a student-run scholarly journal that publishes works by professors, judges, practitioners, and students. The Journal’s publications are subjected to a rigorous editorial board process designed to strengthen their substance, tone and accuracy. The Journal’s primary purpose is to further the discussion of legal aspects of public interest issues and especially those confronting underrepresented individuals. The Journal is a forum for such intellectual discussion and is a force for change and progress. The Journal was recently named one of the top ten civil rights journals in the United States by ExpressO, a leading law review submission organization operated by the Berkeley Electronic Press.",https://uconntact.uconn.edu/organization/cpiljlawuconnedu
126,Connecticut State Museum of Natural History and Connecticut Archaeology Center,"The Connecticut State Museum of Natural History provides a unique platform to showcase the teaching, research, and resources of UConn by providing opportunities for people of all ages to interact with and learn from leading scholars in engaging ways.","The Connecticut State Museum of Natural History and Connecticut Archaeology Center provides a unique platform to showcase the teaching, research, and resources of UConn by providing opportunities for people of all ages to interact with and learn from leading scholars in meaningful and engaging ways. Through it’s exhibits, campus and community-based programs, and outreach activities, the Museum explores Connecticut’s natural and cultural history while providing opportunities to learn about Connecticut’s people, places, and wildlife.",https://uconntact.uconn.edu/organization/csmnh
127,"Consulting Group, UConn","The UConn Consulting Group gives students the opportunity to gain hands-on experience providing strategy consulting services to Non-profits, growing startups, and large corporations.","Please go to our full website at uconnconsulting.org to learn more about our group or submit an application to join!
UConn Consulting Group is a strategy consulting group composed of top students at the University of Connecticut and advised by alumni who went on to attend top business schools (Harvard Business School, Tuck School of Business, and MIT Sloan) and top consulting firms (McKinsey & Company, Bain & Company, A.T. Kearney, and The Boston Consulting Group)",https://uconntact.uconn.edu/organization/ucg
128,"Coptic Orthodox Youth Association, UConn","Welcome to the UConn Coptic Orthodox Youth Association! We gather twice a month for fellowship, fostering a sense of community and spiritual growth among Coptic Orthodox youth at the University of Connecticut. Our club provides rides to Sunday services a","Welcome to the UConn Coptic Orthodox Youth Association!
     Our club is dedicated to fostering a sense of community, spirituality, and friendship among Coptic Orthodox youth at the University of Connecticut. We provide a supportive environment where students can grow in their faith, build lasting connections, and have fun together.
     Twice a month, we gather for fellowship, where we come together as a group to engage in meaningful conversations, share experiences, and support one another. These gatherings serve as a platform for deepening our understanding of the Coptic Orthodox faith, exploring relevant topics, and finding guidance in our spiritual journeys.
     As a club, we understand the importance of attending Sunday services and the challenges students may face in transportation. That's why we organize rides to ensure everyone has the opportunity to attend and participate in the church community. By providing reliable transportation, we aim to create a seamless and convenient experience for our members.
     In addition to our regular meetings and rides to Sunday services, we love to collaborate with other Coptic Orthodox clubs in the area. We believe in the power of unity and enjoy coming together to organize exciting events and outings. From snowboarding trips to attending NBA games, we create opportunities for unforgettable experiences while strengthening our bonds with fellow Coptic Orthodox students.
     Our club is open to all students who are interested in learning more about the Coptic Orthodox faith, connecting with like-minded individuals, and having a great time. Whether you are a devout follower or simply curious about the Coptic Orthodox tradition, we welcome you with open arms and a warm community.
     Join us at the UConn Coptic Orthodox Youth Association and become part of a vibrant and supportive family away from home. Together, we'll deepen our faith, build lasting friendships, and make unforgettable memories.",https://uconntact.uconn.edu/organization/ucoya
129,"Costume Club, UConn","Interested in costuming? We host weekly meetings to teach you the skills you need to make your own! For theater, film, cosplay, etc... we've got you covered! Join our discord for up-to-date meeting information! https://discord.gg/7bgTaq9","The UCONN Costume Club will provide a setting where anyone interested in costuming, and at any level of experience, can come to learn about costuming, and interact with those with similar aspirations. Our primary goal is to facilitate the growth of costuming knowledge, and the maker community as a whole within the college. 
Join our discord https://discord.gg/7bgTaq9 for updated meeting information and to keep up with the cool stuff we're making! Our meetings are always Saturday from 11AM-2PM, but the room varies; it's currently SU 106A.
Follow us on Instagram @uconncostumeclub!",https://uconntact.uconn.edu/organization/costumeclubuconn
130,Crafting Care,"Our goal is to spread care and hope to our local community by providing care packages that include cards and crafts like bracelets, up-cycled scrunchies, and custom embroidered items.","Our goal is to spread care and hope to our local community by providing care packages that include thank you cards to staff and/or hopeful message cards to patients plus bracelets, up-cycled scrunchies, and even custom embroidered items. Meetings will be held to discuss and demonstrate how to create the different types of crafts that will be included in the care packages. You will be able to make the crafts on your own or during the meetings. We hope our care packages will demonstrate our thanks and appreciation to the various members of our community and brighten their day.",https://uconntact.uconn.edu/organization/craftingcare
131,Create and Communicate,"An organization available for any student, but specified for SLHS majors that uses art to enhance a patient’s speech and language development using processed and product based art activities."," 
 
 ",https://uconntact.uconn.edu/organization/createcommunicate
132,Creating a Male Initiative Into Ourselves,We are an organization focusing on creating positive masculinity through: Deconstructing toxic masculinity Increase awareness to men’s mental health Tackle minority-cultural based stigmas and mindsets Increase men’s sexual assault awareness,"C.A.M.I.N.O. is a student-led organization designed to deconstruct toxic masculinity on campus by the following objectives we strive to tackle:
Education on what toxic masculinity is and the forms it may take
Ways to educate and promote awareness of positive masculinity. Specifically, how to counter those who engage in toxic masculinity in an effective way
Focus on deconstructing cultural stigmas and mindsets that promote and influence toxic masculinity 
Advocate for Men’s Mental Health awareness and increase availability of resources and outreach known to students 
Work in collaboration with Female-based empowerment groups and others (such as DAMAS)
Increase awareness of Men’s Sexual Assault and educate against stereotypes and fallacies
Anyone is welcome to support or become/stand as an Ally within C.A.M.I.N.O. We are minority based but inclusive to all! ",https://uconntact.uconn.edu/organization/camino
133,Creative Writing Club,"Welcome to the Creative Writing Club, a laid back, judgement free zone for cultivating inspiration, getting feedback on your works-in-progress, and growing your creative writing skills, while making writing friends in the process!","The Creative Writing Club meets once a week for a one and a half hour time block. It's very flexible: you can come and go as you please. We do group writing activities, games, and workshops. If you are looking to meet other writers or trying to fit writing into your weekly schedule, we are here for you! We hope to see you soon!
Current meeting schedule= Fridays, 5:00-6:30, student union room 410!",https://uconntact.uconn.edu/organization/creativewritingclub
134,"Crew, UConn Men's","The purpose of UConn Men’s Crew Club is to establish a program to teach college students to row, and to foster those skills to acceptable standards of competition with other teams on a varsity level.",,https://uconntact.uconn.edu/organization/crewuconnmens
135,Criminal Law Society,The UConn Criminal Law Society is a club for law students interested in pursuing a career in the criminal justice system. If you have any interest in becoming a prosecutor or criminal defense attorney (either public or private) this club is for you!,,https://uconntact.uconn.edu/organization/crimlawsociety
136,Cross Cultural Connections,Cross-Cultural Connections strives to foster a more global UConn community through face to face cross cultural interaction. International students are paired with domestic UConn students as a means of facilitating this interaction.,"Cross Cultural Connections (CCC) pairs undergraduate international and American students as conversation partners. International students can strengthen their grasp of the English language and familiarize themselves with American culture, while student conversation partners get the opportunity to learn about different cultures. Both students also get the opportunity to make a new friend!
 
Partners are assigned based on mutual interests, shared majors, or the capacity to build an endearing connection. Once assigned, partners coordinate among themselves to meet for 4 hours each month to have a conversation or do an activity together. CCC also hosts a monthly meeting for its members designed to help foster a sense of community.
 
CCC encourages American students to introduce their partners to their friends. Help make them feel welcome at UConn. The program values intimate, face-to-face interactions as a means of fostering a more global UConn community. 
 
Graduate students, please click here to sign up for the International Graduate Buddy Program.
 
International Student Interest Form
Fluent English Speaker Interest Form
 
2023-24 Chinese and English Exchange (CEE) Program Sign Up
The Chinese and English Exchange program is a program within Cross Cultural Connections that meets on a weekly basis to learn Chinese and/or practice English and Chinese conversation.
- Join both CCC and CEE!
- Learn or practice conversational Chinese with native speakers 
- Practice conversational English with native speakers 
- Fun events with free food/prizes
This program welcomes all UConn students and staff that are looking to learn or strengthen their Chinese or English speaking skills.",https://uconntact.uconn.edu/organization/coccconnections
137,Cru at UConn,"An interdenominational Christian group that seeks to introduce students to the person of Jesus Christ, help the students grow in their faith, and equip students to be able to communicate the Christian faith to others.","Cru at UConn is an interdenominational Christian organization at UConn that exists to introduce college students to the person of Jesus Christ, help them build a deep relationship with the Lord, and equip them to share the Gospel with others.
Weekly Meetings are on Thursday nights at 7:30. We meet in-person in the Wilbur Cross North Reading Room. Fill out this form to get connected with us! https://rb.gy/e3akpz https://rb.gy/e3akpz",https://uconntact.uconn.edu/organization/cruatuconn
138,CT Center for Entrepreneurship and Innovation,"CCEI inspires a culture of entrepreneurship and innovation across UConn by offering programs that support new venture development, courses that engage students in innovation, and connecting the University with the entrepreneurial ecosystem within CT.","Connecticut Center for Entrepreneurship & Innovation (CCEI), established in 2007, is identified as an area of strength by the University and vital to the state and national economy, the School of Business, and the University, as a whole.
CCEI is committed to the University of Connecticut’s Core Values of Innovation, Leadership, Global Engagement and Diversity. As part of one of the United States’ leading public universities, we benefit from the academic background, strength in numbers and geographic positioning of the various populations we work with.
CCEI categorizes it's offerings into four main groupings:
1. Venture Building
Supporting entrepreneurs and innovators across the University by providing funding, programs, and mentorship to help accelerate their ventures.
2. Experiential Entrepreneurship
Experiential learning and internship programs that engage students with startups and small businesses in Connecticut.
3. Connectivity
Fostering a diverse and collaborative community of students, faculty, and alumni entrepreneurs and innovators, all while supporting the greater entrepreneurship ecosystem within the State.
4. Research and Teaching
Propagating thought leadership in entrepreneurship and innovation through funding research and teaching projects, and organizing research seminars and events of consequence to business and society.",https://uconntact.uconn.edu/organization/uconnccei
139,"Cyber, UConn",UConn Cybersecurity Club is a practical club offering opportunities to students interested in sharpening their technical skills. We participate in Capture The Flag (CTF) events regularly to hone the skills required in the real world.,"Welcome to UCONN Cyber!

Club's Discord : https://discord.gg/FGu9Fs2XTm
Fall 2023 NCL Interest Form: https://forms.gle/VL6krBFi61AzKy388
 ",https://uconntact.uconn.edu/organization/uconncyber
140,Cycling Team,Open to all persons interested in cycling with an emphasis on the collegiate mountain and road racing season.,,https://uconntact.uconn.edu/organization/cycling
141,"Daily Campus, The","The Daily Campus is an independent student-run daily newspaper with paid opportunities to get involved in writing, designing, copy editing, photography, web development and distribution.","The Daily Campus has independently served the UConn community since 1896. One of the largest organizations on campus, The Daily Campus draws students from a variety of majors and backgrounds, not just journalism students. The environment is fun and fast-paced, but focused on education, so no experience is needed to join any of the departments. Sections include News, Life, Sports, Opinion, Photo and Artists.
As a Tier III organization, we strive to provide the UConn community with fair, accurate, relevant and editorially independent content; to take on student interests as our own interests; and to provide the best possible environment for students to learn, experience and develop skills related to news media.
UConntact is not a reliable place to become involved with the DC. Please drop by our building behind Moe’s any night for a tour, and check out our website for details on section meeting times and job opportunities - we welcome new members in every department at any point in the year! https://dailycampus.com/how-to-join/ ",https://uconntact.uconn.edu/organization/thedailycampus
142,"Dance Company, UConn","UDC is a completely student run dance ensemble, giving members the opportunity to choreograph and perform in styles ranging from jazz to hip hop, contemporary, ballet, musical theater, and more!","UConn Dance Company began as DanceWorks in 2008.  It has since evolved into a large group of talented, passionate, and devoted dancers who work together to perform a self-directed showcase at the end of each semester.  Every aspect of the show is designed by the students -- choreography, staging, music, and lighting.  Styles range from hip hop to ballet, jazz, modern, lyrical, musical theater, and much more!
 
Auditions for each semester will be held shortly after arrival on campus and school-wide Involvement Fair. Technique and ability to learn choreography will be assessed, as well as any special skill required by choreographers. If admitted, dancers will be able to sign up for the pieces they'd like to be considered for. The casting process will follow soon after. For anyone interested, send us an email, and we'll be sure to keep you updated!",https://uconntact.uconn.edu/organization/uconndancecompany
143,"Data Science, UConn",The organization exists to help undergraduate and graduate students to explore and grow in the evolving field of data science.,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights within various forms, both structured and unstructured. Data science interacts with a  wide variety of fields: business, finance, biology, artificial intelligence research, and more. Wherever there is data, the techniques and practices of data science will be useful.
 
UConn Data Science Club focuses on educating and preparing students to be involved in the field of data science. To develop students’ technical experience, we participate in Kaggle and host workshops focusing on making a wide variety of areas accessible to undergraduate students. These workshops range from introductory coding to machine learning and neural networks which include practical business applications like algorithmic trading and optimization. Our events give members the opportunity to develop professional skills and to network with industry leaders and other students. Each year we host the UConn Sports Analytics Symposium which brings in industry experts and students from across the country. 
 
Currently, we have weekly meetings where we host a workshop followed by hands on sessions. We them release title questions after every meeting where if completed, we issue a certificate at the end of the semester. Our meets cover: NumPy, Matplotlib, Pandas, Scikit-learn, Scipy and TensorFlow.
 
All students of different backgrounds are welcome!
Join our discord here: https://discord.gg/KZPfv2CEE5
Contact: uconndatascience@gmail.com",https://uconntact.uconn.edu/organization/datascience
144,DeColores Collective,The mission of Decolores is to create a safe and inclusive space for latine and queer individuals. We hope to create an environment where such individuals can share their own experiences and get a discussion going surrounding being queer and latine.,,https://uconntact.uconn.edu/organization/decolorescollective
145,"Delta Phi Lambda Sorority, Inc.","Delta Phi Lambda Sorority, Inc. advocates Asian awareness and empowers women leaders through its values-based programs and everlasting sisterhood."," 
The Sisters of Delta Phi Lambda are honored to be part of our tight-knit sisterhood, and we are excited to share our enriching experience with young women who are looking for a welcoming and empowering community to call their own. We are a group of motivated and ambitious individuals who are dedicated to promoting our virtues of Loyalty, Honesty, Respect, Dedication, Integrity, Discipline, and Academic Excellence.
 
Our mission is to raise cultural awareness, develop women into strong, independent leaders, and forge Everlasting Sisterhood. We achieve this through a diverse range of events, including one of our signature events - Three Cs Week, which is dedicated to collaboration, cooperation, and celebration. As part of the Intercultural Greek Council, the governing council for all culturally based fraternities and sororities, we are actively involved in initiatives that foster citizenship, scholarship, and inclusivity on our campus.
 
Being part of Delta Phi Lambda offers an incredible opportunity to be part of a larger community, connecting with sisters across the country and finding a home on campus. Additionally, there are ample opportunities for personal growth through leadership development. Being a part of Delta Phi Lambda provides lifelong opportunities for friendship and enhances the collegiate experience. 
 
Learn more about us! 
IG: @uconndphil
Interest Form ",https://uconntact.uconn.edu/organization/deltaphilambda
146,"Delta Phi Omega Sorority, Inc","Delta Phi Omega (ΔΦΩ) is a cultural, social, and service-centered South Asian interest, but NOT South Asian exclusive, organization. The Sisters are dedicated to an often overlooked cause: children's education and literacy in underprivileged communities.","Established in 1998, Delta Phi Omega Sorority, Inc. has grown to over 50 chapters and charters across the nation. We are one of the largest, strongest, fastest-growing sororities of its kind. Membership in our organization provides a lifetime of friendships, numerous opportunities for personal and professional growth, and an unforgettable collegiate experience that you can choose to continue after graduation, upon becoming an alumna. We are the first South Asian (but not exclusive) interest sorority in Connecticut. We are academic, service, and a social based organization with a philanthropy of Children's Education and Literacy. 
 ",https://uconntact.uconn.edu/organization/deltaphiomega
147,"Delta Sigma Pi, the Theta Iota Chapter of the International Fraternity of","Delta Sigma Pi is a co-ed professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice.","Delta Sigma Pi is a co-ed professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.",https://uconntact.uconn.edu/organization/ucdsp
148,Delta Zeta Sorority,"The mission of the Delta Zeta sorority is to foster true and lasting friendship among women, to uplift each other in the pursuit of knowledge, social responsibility, and value-based living.",,https://uconntact.uconn.edu/organization/deltazetasorority
149,Department of Dining Services,Department of Dining Services,"The Department of Dining Services team strives to provide students and guests with an exceptional, sustainable, and diverse experience, one meal at a time.
For inquiries please call the main office at 860-486-3128",https://uconntact.uconn.edu/organization/dining
150,DesignedBlack,DesignedBlack is a collective of black digital creatives and artists at the University of Connecticut.,"DesignedBlack is a collective of black digital creatives and artists at the University of Connecticut. Our mission is to provide our school’s digital artists with a platform to share their ideas and projects. In addition, it is also an opportunity for students to find people who share their interest as well as their identity. Although members of all ethnicities are welcomed to join, this club’s purpose and mission is to highlight black-created projects.
We meet every Wednesday in ITE 119 from 6-7pm – stop by & say hello! :)",https://uconntact.uconn.edu/organization/designedblack
151,Determinants of Health Alternative Break,Determinants of Health Alternative Break,"Dates: March 13, 2022- March 19, 2022
Group Size: up to 12 student participants, 1 student trip director, 1 staff
Participant Cost: UConn Storrs Students: $80;  Regional Campus and Graduate Students: $180
Trip Director: Megha Shankar
Location: Boston, MA",https://uconntact.uconn.edu/organization/coappalachia
152,Dialogue Initiatives,Dialogues Initiatives is a program developed by Community Outreach under One Time Programs and Campus Initiatives. The main goal of Dialogues is to foster healthy and respectful communication about pertinent issues in society today.,"It's important to learn about the pressing social issues of today and how to speak about them with others in a way that is respectful and open-minded. In today's virtual world, there is a challenge to come together and communicate regarding controversial topics. Focusing on inclusivity and different perspectives, Dialogues Initiatives provides exposure to the experiences and perspectives of people on both sides of an issue through careful education and interactive deliberation.
Our events are interactive and unbiased, seeking to open conversation around contentious issues. Each event is unique and may incorporate film, speakers, and workshops. For the Fall 2022 semester, we plan to focus on topics of  voter suppression and human rights. Share your voice as we seek practical solutions to real-world problems. To learn more about our upcoming events, click on the link: 
https://communityoutreach.uconn.edu/democracy-political-engagement/
We invite you to come to share your perspective, and/or to come to learn through our monthly dialogues! Each of our dialogues will attempt to educate on a topical issue that affects our society. In the past, we have tackled issues diverse as racial equity in healthcare, child poverty, transgender identities, sexual assault on campus, homelessness, and psychological health. 
For more information or to make a suggestion for dialogues, contact Matthew Kylin at uconn.co.dialogues@gmail.com.",https://uconntact.uconn.edu/organization/codialogues
153,Disney at UConn,"We meet Tuesdays at 7PM! We are your portal to everything Disney! We discuss great internship opportunities as well as have a lot of fun with activities, movies, and making new friends! Come join the magic! :)","Fall 2023 meetings are on Tuesdays at 7pm in SU 324 with the first one on Sept 12th! We are your portal to everything Disney! We discuss great internship opportunities as well as have a lot of fun with activities, movies, and making new friends. Come and join the magic! :) 
We discuss the Disney College Program and how you can work with UConn to participate in the internship. 
Also, we do all things, Disney! From learning about the parks, to Disney trivia, to games and activities. We always have fun at our meetings!
Hope to see you soon!
Have a magical day!
 
 
Contact us at disneyatuconn@gmail.com
Or follow us on Instagram at disneyatuconn",https://uconntact.uconn.edu/organization/disneyatuconn
154,Diversability,"Diversability represents a group of students who seek to create spaces to discuss ability, disability, access, and inclusion.","Diversability represents a group of students who seek to create spaces to discuss ability, disability, access, and inclusion. Its members intend to provide support to each other, including sharing their lived experiences with disability in college, including the personal aspects of having a disability, and also recognizing disability as an important part of diversity. This group holds weekly meetings for members to safely share their perspectives and resources to improve everyone's college experience. The group also sponsors events that can appeal to the entire UConn community in order to raise awareness about the experiences of people and college students with disabilities. Events will include but are not limited to: open dialogues, sponsored speakers, and other disability awareness events intended to foster an inclusive and accepting community. ",https://uconntact.uconn.edu/organization/diversability
155,Diversity in Healthcare,"The primary goal of Diversity in Healthcare (DiH) is to reduce discrimination, biases, and break down barriers between healthcare providers and their patients on the basis of racial, sexual and social differences. Follow us on instagram @diversityinhc",,https://uconntact.uconn.edu/organization/dih
156,"Doctors Without Borders/Medecins Sans Frontieres Student Chapter, UConn",Doctors Without Borders is an NGO that sends medical professionals to locations in medical crises. The duties of Uconn's Student Chapter is to fundraise and advocate so they can continue giving quality medical care to to those who need it most.,"Doctors Without Borders is a non-profit organization that sends all levels of medical professionals, from paramedics to surgeons, all around the world to locations in medical crises. Whether a medical crisis is inflicted by war, natural disaster, or epidemic, Doctors Without Borders firmly believes that everyone should have access to quality medical care. Current projects they have commenced are helping Nigerian refugees in Cameroon and beginning a clinical trial for a potential Ebola treatment.
Our duties, as a student chapter, will be to fundraise and advocate for this organization. We will do this through hosting fundraisers, socials, film screenings, speaker events, panel debates, and advocacy campaigns here on campus. Additionally, we require active members to complete a minimal volunteer hour requirement of 3 hours per year and attend at least 3 general board meetings per semester. Most of these hours can be gained through volunteering at our hosted events but each member will have to do service of their own. This way, we practice what we preach by also giving back to our local communities. We hope to create a club dedicated to helping the global community and our UConn community. ",https://uconntact.uconn.edu/organization/uconnmsfstudentchapter
157,Dominican Student Association,The Dominican Student Association is an organization dedicated to spreading Dominican culture around the UConn campus. A place where those that are interested in learning about Dominican culture can do so in a fun and safe space!,,https://uconntact.uconn.edu/organization/dominicanstudentassociation
158,Dramatic PAWS,"Dramatic P.A.W.S. (Producing, Acting, Writing Students) is a theater organization designed to provide all UConn students, regardless of major, with performance opportunities and social outlets.","Dramatic PAWS (Producing, Acting, Writing Students) is a student-run organization dedicated to fostering an open environment for theatre majors and non-theatre majors alike. The club stages productions, as well as encourages its members to be creative in all facets of the arts. Members are welcome to enjoy an inclusive, relaxed, and positive atmosphere that promotes appreciation of the arts.
Opportunities have included full length theatrical productions, short-form improv, haunted attractions, one-act festivals and many other exciting opportunities.  Some of our recent productions include:
Grease
Next to Normal
Heathers
A View From The Bridge
Pippin
American Idiot
Company
Legally Blonde: The Musical
Spring Awakening
Brownstone 
Remocrats vs. Depublicans (An Original Musical)
Almost, Maine
A Very Potter Sequel
Romantic Fools
SMASH
Never Alone (An Original Play)
Sherlock Holmes and the Case of the Jersey Lily
The Brother's Grimm Spectaculathon
A Very Potter Musical
The Importance of Being Earnest
Mindgames (An Original Piece)
The Rocky Horror Picture Show
Love/Sick
Arisophanes' the Birds
The Play That Goes Wrong",https://uconntact.uconn.edu/organization/dramaticpaws
159,"Dressage Team, UConn",To allow students who have an interest in the riding discipline dressage to interact with one another. The club will also provide opportunities for members to compete against dressage riders from other colleges.,The UConn Dressage Team consists of a group of passionate and hardworking equestrians in the field of dressage. We are an inclusive club that holds regular (biweekly) team meetings and tryouts (once per semester). ,https://uconntact.uconn.edu/organization/dressageteam
160,"Drill Team and Honor Guard, UConn",The UConn Drill Team and Honor Guard organizes drill teams and color guards based off of Air Force ROTC drill regulations. We take part in activities like presenting the colors at UConn athletic events and attending drill competitions.,,https://uconntact.uconn.edu/organization/drillteamandhonorguard
161,Drop The Bass,Drop the Bass is one of UConn's 2 treble-voice acapella groups! We spread positivity and empowerment through music.,"Drop the Bass is a treble-voice acapella group at the University of Connecticut! We are a competitive performance group that spreads positivity and empowerment through our love for music. Formed in the Fall 2013 semester, we have been featured at various UConn A Cappella events, invitationals, competitions, community events, and venues in the Storrs area and beyond.

Our group currently consists of devoted members ranging from freshmen to grad students with a passion for vocal performance. Follow us on our social media @dtb.uconn to hear us sing!

Interested in booking Drop the Bass? Email us at uconndropthebass@gmail.com to connect!",https://uconntact.uconn.edu/organization/dropthebass
162,Dumbledore's Army,"The UConn DA is an opportunity for students who are fans of the Harry Potter series to come together and participate in activities that relate to the series, including book and movie discussions, trivia, games, videos and quidditch.","Dumbledore's Army at UConn is an opportunity for students who are fans of the Harry Potter series to come together and participate in activities that relate to the series, including book and movie discussions, trivia, games, videos and quidditch.  The club will also work to do community service including fundraising in such forms as book drives, through the Harry Potter Alliance, a non-profit organization that uses themes and values from the series to work for human rights, equality, and a better world for those who are less fortunate.",https://uconntact.uconn.edu/organization/uconnda
163,Ecology & Evolutionary Biology Graduate Student Assn. of UConn,Provides a forum in which all graduate students in the department are welcome to discuss any issues relevant to graduate school.,"Provides a forum in which all graduate students in the department are welcome to discuss any issues relevant to graduate school. We typically have monthly meetings each semester, but additional meetings can be called at any time there is demand. The organization is run by a group of officers. Meetings follow parlimentary procedure as well as the guidelines specified by our constitution and by-laws. Organizational activities include an annual symposium, graduate-invited speakers, a graduate student mentoring program, and merch-design fundraisers.",https://uconntact.uconn.edu/organization/ecologyevolutionarybiology
